bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-max,run-time-mean,run-time-stddev,run-time-min,run-time-max,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
OptimizedVectorAddition_fp32_sg32,0,0,3072,256,100000,0.005082,0.000020,,,0.005187,0.000027,0.005166,,0.457556,0.005545,0.466126,0.452148
OptimizedVectorAddition_int32_sg8,0,0,3072,256,100000,0.004172,0.000000,,,0.004288,0.000035,0.004249,,0.379638,0.014013,0.403809,0.368591
OptimizedVectorAddition_int64_sg8,0,0,3072,256,100000,0.004745,0.000032,,,0.004843,0.000040,0.004800,,0.460876,0.045442,0.497436,0.407959
OptimizedVectorAddition_fp32_sg8,0,0,3072,256,100000,0.004135,0.000009,,,0.004226,0.000016,0.004208,,0.366748,0.035209,0.390930,0.304627
OptimizedVectorAddition_int32_sg16,0,0,3072,256,100000,0.004704,0.000006,,,0.004809,0.000015,0.004787,,0.445691,0.045248,0.487610,0.370422
OptimizedVectorAddition_int64_sg16,0,0,3072,256,100000,0.005699,0.000036,,,0.005799,0.000034,0.005760,,0.574609,0.011316,0.586914,0.562988
OptimizedVectorAddition_fp32_sg16,0,0,3072,256,100000,0.004647,0.000023,,,0.004736,0.000026,0.004706,,0.409680,0.049769,0.470214,0.364807
OptimizedVectorAddition_int32_sg32,0,0,3072,256,100000,0.005106,0.000024,,,0.005200,0.000038,0.005166,,0.499817,0.045683,0.557861,0.457947
OptimizedVectorAddition_int64_sg32,0,0,3072,256,100000,0.006814,0.000020,,,0.006925,0.000031,0.006887,,0.577246,0.038394,0.645569,0.556824
OptimizedVectorAddition_fp32_sg32,0,0,3072,256,100000,0.005083,0.000020,,,0.005170,0.000029,0.005126,,0.474451,0.034282,0.534790,0.452759
OptimizedVectorAddition_int32_sg8,0,0,3072,64,100000,0.004072,0.000023,,,0.004180,0.000053,0.004122,,0.368762,0.015371,0.381531,0.347046
OptimizedVectorAddition_int64_sg8,0,0,3072,64,100000,0.005172,0.000000,,,0.005313,0.000052,0.005259,,0.495593,0.033458,0.550659,0.470764
OptimizedVectorAddition_fp32_sg8,0,0,3072,64,100000,0.004022,0.000023,,,0.004140,0.000022,0.004121,,0.375708,0.007261,0.380555,0.363282
OptimizedVectorAddition_int32_sg16,0,0,3072,64,100000,0.004572,0.000061,,,0.004678,0.000073,0.004592,,0.420544,0.040373,0.460022,0.375427
OptimizedVectorAddition_int64_sg16,0,0,3072,64,100000,0.005742,0.000027,,,0.005849,0.000046,0.005800,,0.537720,0.033165,0.559204,0.479431
OptimizedVectorAddition_fp32_sg16,0,0,3072,64,100000,0.004508,0.000005,,,0.004614,0.000024,0.004593,,0.400684,0.048201,0.453247,0.354553
OptimizedVectorAddition_int32_sg32,0,0,3072,64,100000,0.005184,0.000025,,,0.005291,0.000029,0.005268,,0.465442,0.031746,0.521240,0.442505
OptimizedVectorAddition_int64_sg32,0,0,3072,64,100000,0.006833,0.000062,,,0.006967,0.000071,0.006906,,0.616199,0.032489,0.648377,0.561951
OptimizedVectorAddition_fp32_sg32,0,0,3072,64,100000,0.005164,0.000078,,,0.005252,0.000095,0.005168,,0.462060,0.004324,0.468567,0.457580
OptimizedVectorAddition_int32_sg8,0,0,3072,512,100000,0.004211,0.000023,,,0.004308,0.000039,0.004250,,0.419165,0.054887,0.489746,0.369445
OptimizedVectorAddition_int64_sg8,0,0,3072,512,100000,0.005057,0.000002,,,0.005151,0.000018,0.005136,,0.487671,0.060432,0.567566,0.397217
OptimizedVectorAddition_fp32_sg8,0,0,3072,512,100000,0.004166,0.000020,,,0.004262,0.000013,0.004245,,0.412183,0.052950,0.472839,0.369079
OptimizedVectorAddition_int32_sg16,0,0,3072,512,100000,0.004789,0.000075,,,0.004880,0.000080,0.004761,,0.437488,0.032331,0.460144,0.380371
OptimizedVectorAddition_int64_sg16,0,0,3072,512,100000,0.005787,0.000066,,,0.005882,0.000069,0.005764,,0.537939,0.030893,0.556153,0.483154
OptimizedVectorAddition_fp32_sg16,0,0,3072,512,100000,0.004683,0.000025,,,0.004765,0.000026,0.004746,,0.420850,0.050482,0.472778,0.365113
OptimizedVectorAddition_int32_sg32,0,0,3072,512,100000,0.005173,0.000001,,,0.005266,0.000030,0.005248,,0.480420,0.032931,0.538818,0.461731
OptimizedVectorAddition_int64_sg32,0,0,3072,512,100000,0.006826,0.000037,,,0.006947,0.000059,0.006895,,0.639893,0.008778,0.650207,0.631470
OptimizedVectorAddition_fp32_sg32,0,0,3072,512,100000,0.005142,0.000028,,,0.005238,0.000032,0.005197,,0.497229,0.042209,0.546264,0.461120
OptimizedVectorAddition_int32_sg8,0,0,3072,128,100000,0.004089,0.000000,,,0.004191,0.000030,0.004167,,0.372424,0.010975,0.387757,0.361084
OptimizedVectorAddition_int64_sg8,0,0,3072,128,100000,0.005172,0.000000,,,0.005274,0.000023,0.005251,,0.484253,0.005919,0.493347,0.478760
OptimizedVectorAddition_fp32_sg8,0,0,3072,128,100000,0.004030,0.000023,,,0.004124,0.000028,0.004083,,0.382861,0.058424,0.458374,0.294799
OptimizedVectorAddition_int32_sg16,0,0,3072,128,100000,0.004630,0.000047,,,0.004719,0.000053,0.004648,,0.385559,0.028278,0.433533,0.364197
OptimizedVectorAddition_int64_sg16,0,0,3072,128,100000,0.005703,0.000007,,,0.005811,0.000018,0.005785,,0.476172,0.006723,0.485535,0.469299
OptimizedVectorAddition_fp32_sg16,0,0,3072,128,100000,0.004546,0.000025,,,0.004640,0.000034,0.004583,,0.403797,0.045737,0.459839,0.355896
OptimizedVectorAddition_int32_sg32,0,0,3072,128,100000,0.005072,0.000023,,,0.005164,0.000036,0.005128,,0.447925,0.005387,0.453430,0.439819
OptimizedVectorAddition_int64_sg32,0,0,3072,128,100000,0.006744,0.000018,,,0.006879,0.000019,0.006852,,0.631946,0.037186,0.657898,0.567871
OptimizedVectorAddition_fp32_sg32,0,0,3072,128,100000,0.005028,0.000049,,,0.005124,0.000051,0.005087,,0.484827,0.038423,0.552795,0.462036
OptimizedVectorAddition_int32_sg8,0,0,3072,512,100000,0.004187,0.000017,,,0.004269,0.000023,0.004248,,0.414624,0.052060,0.478516,0.366272
OptimizedVectorAddition_int64_sg8,0,0,3072,512,100000,0.005058,0.000002,,,0.005167,0.000022,0.005144,,0.472693,0.035293,0.499878,0.411011
OptimizedVectorAddition_fp32_sg8,0,0,3072,512,100000,0.004173,0.000029,,,0.004306,0.000056,0.004243,,0.407482,0.045943,0.459167,0.368713
OptimizedVectorAddition_int32_sg16,0,0,3072,512,100000,0.004703,0.000034,,,0.004838,0.000047,0.004777,,0.403845,0.047434,0.462341,0.366882
OptimizedVectorAddition_int64_sg16,0,0,3072,512,100000,0.005767,0.000050,,,0.005859,0.000065,0.005793,,0.555017,0.003555,0.558960,0.550782
OptimizedVectorAddition_fp32_sg16,0,0,3072,512,100000,0.004689,0.000037,,,0.004779,0.000031,0.004755,,0.437280,0.040202,0.465759,0.367431
OptimizedVectorAddition_int32_sg32,0,0,3072,512,100000,0.005172,0.000000,,,0.005265,0.000019,0.005249,,0.506995,0.047644,0.555969,0.448547
OptimizedVectorAddition_int64_sg32,0,0,3072,512,100000,0.006910,0.000082,,,0.007029,0.000072,0.006974,,0.649536,0.005810,0.657104,0.640747
OptimizedVectorAddition_fp32_sg32,0,0,3072,512,100000,0.005156,0.000023,,,0.005259,0.000054,0.005212,,0.476013,0.037974,0.542358,0.451294
OptimizedVectorAddition_int32_sg8,0,0,3072,1024,100000,0.005453,0.000001,,,0.005549,0.000021,0.005532,,0.498474,0.045893,0.549560,0.461548
OptimizedVectorAddition_int64_sg8,0,0,3072,1024,100000,0.007491,0.000055,,,0.007612,0.000075,0.007494,,0.666345,0.033953,0.725402,0.644104
OptimizedVectorAddition_fp32_sg8,0,0,3072,1024,100000,0.005341,0.000002,,,0.005441,0.000021,0.005412,,0.477613,0.035419,0.534791,0.447510
OptimizedVectorAddition_int32_sg16,0,0,3072,1024,100000,0.005433,0.000002,,,0.005517,0.000008,0.005509,,0.502551,0.041760,0.545959,0.450623
OptimizedVectorAddition_int64_sg16,0,0,3072,1024,100000,0.006272,0.000001,,,0.006375,0.000024,0.006354,,0.568054,0.046932,0.651855,0.542907
OptimizedVectorAddition_fp32_sg16,0,0,3072,1024,100000,0.005388,0.000001,,,0.005492,0.000015,0.005470,,0.463489,0.043330,0.540405,0.436767
OptimizedVectorAddition_int32_sg32,0,0,3072,1024,100000,0.005257,0.000013,,,0.005362,0.000028,0.005330,,0.450610,0.007862,0.463989,0.444702
OptimizedVectorAddition_int64_sg32,0,0,3072,1024,100000,0.007077,0.000019,,,0.007183,0.000025,0.007151,,0.645044,0.010079,0.656005,0.631103
OptimizedVectorAddition_fp32_sg32,0,0,3072,1024,100000,0.005142,0.000001,,,0.005236,0.000017,0.005216,,0.478223,0.034928,0.538941,0.450379
OptimizedVectorAddition_int32_sg8,0,0,3072,128,100000,0.004081,0.000019,,,0.004178,0.000032,0.004135,,0.380786,0.010430,0.393249,0.368104
OptimizedVectorAddition_int64_sg8,0,0,3072,128,100000,0.005172,0.000000,,,0.005278,0.000042,0.005246,,0.491565,0.009452,0.502442,0.477661
OptimizedVectorAddition_fp32_sg8,0,0,3072,128,100000,0.004024,0.000021,,,0.004114,0.000033,0.004081,,0.383801,0.005165,0.389954,0.376099
OptimizedVectorAddition_int32_sg16,0,0,3072,128,100000,0.004665,0.000015,,,0.004747,0.000022,0.004713,,0.438696,0.039473,0.459717,0.368225
OptimizedVectorAddition_int64_sg16,0,0,3072,128,100000,0.005704,0.000007,,,0.005797,0.000017,0.005777,,0.544495,0.042650,0.573975,0.469177
OptimizedVectorAddition_fp32_sg16,0,0,3072,128,100000,0.004583,0.000060,,,0.004669,0.000073,0.004589,,0.407055,0.043426,0.460632,0.365478
OptimizedVectorAddition_int32_sg32,0,0,3072,128,100000,0.005051,0.000037,,,0.005133,0.000043,0.005080,,0.461658,0.007711,0.470215,0.449402
