bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_fp64_4096,,,65536,256,,4.000000,N/A,N/A,,N/A,0.000480,0.000048,0.000442,9049.036730,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,N/A,N/A,,N/A,0.000237,0.000008,0.000231,8662.095967,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,N/A,N/A,,N/A,0.000234,0.000003,0.000231,8644.686111,,,,
MicroBench_LocalMem_fp64_4096,,,65536,256,,4.000000,N/A,N/A,,N/A,0.000477,0.000044,0.000443,9034.239769,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000393,0.000006,0.000390,10267.783802,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000395,0.000004,0.000391,10217.165860,,,,
MicroBench_LocalMem_fp64_4096,,,131072,256,,8.000000,N/A,N/A,,N/A,0.000804,0.000057,0.000759,10541.420535,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000392,0.000007,0.000389,10293.652162,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000391,0.000004,0.000387,10327.457870,,,,
MicroBench_LocalMem_fp64_4096,,,131072,256,,8.000000,N/A,N/A,,N/A,0.000790,0.000045,0.000755,10596.503684,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010941,0.000004,0.010938,11702.073973,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010943,0.000004,0.010940,11700.563565,,,,
MicroBench_LocalMem_fp64_4096,,,4194304,256,,256.000000,N/A,N/A,,N/A,0.021868,0.000052,0.021827,11728.805281,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000116,0.000009,0.000107,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000112,0.000005,0.000109,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,16384,256,,1.000000,N/A,N/A,,N/A,0.000174,0.000049,0.000134,7473.171315,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043195,0.000023,0.043175,11858.813689,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043191,0.000025,0.043175,11858.681849,,,,
MicroBench_LocalMem_fp64_4096,,,16777216,256,,1024.000000,N/A,N/A,,N/A,0.086237,0.000117,0.086143,11887.231638,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,N/A,N/A,,N/A,0.002849,0.000044,0.002815,11369.135214,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,N/A,N/A,,N/A,0.002879,0.000059,0.002812,11381.047426,,,,
MicroBench_LocalMem_fp64_4096,,,1048576,256,,64.000000,N/A,N/A,,N/A,0.005807,0.000090,0.005695,11237.781985,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,N/A,N/A,,N/A,0.000112,0.000010,0.000107,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,N/A,N/A,,N/A,0.000110,0.000003,0.000106,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,8192,256,,0.000000,N/A,N/A,,N/A,0.000171,0.000045,0.000136,N/A,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000008,0.000107,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000004,0.000107,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,16384,256,,1.000000,N/A,N/A,,N/A,0.000171,0.000046,0.000134,7473.003774,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000007,0.000107,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000006,0.000106,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,16384,256,,1.000000,N/A,N/A,,N/A,0.000174,0.000048,0.000134,7469.208189,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,N/A,N/A,,N/A,0.000111,0.000007,0.000106,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,N/A,N/A,,N/A,0.000112,0.000008,0.000105,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,2048,256,,0.000000,N/A,N/A,,N/A,0.000171,0.000048,0.000132,N/A,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000134,0.000009,0.000129,7772.242214,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,N/A,N/A,,N/A,0.000133,0.000004,0.000130,7705.881900,,,,
MicroBench_LocalMem_fp64_4096,,,32768,256,,2.000000,N/A,N/A,,N/A,0.000277,0.000054,0.000233,8565.493908,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005489,0.000006,0.005485,11668.634837,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005490,0.000005,0.005484,11669.790159,,,,
